,algorithm,mse train,mse val,init zero,iterations,time,lr method,lr,b,model
51,gradient,2.1124601916527213,2.073169457386858,1.0,1.0,0.007983207702636719,Momentum,1e-07,0.7,default_top160
51,gradient,2.1124602131562416,2.0731694851397724,1.0,1.0,0.0014510154724121094,Momentum,1e-07,0.7,default_top60
52,gradient,2.112460292425269,2.0731695719515972,1.0,1.0,0.00916290283203125,Momentum,1e-07,0.8,default_top160
52,gradient,2.1124603122746755,2.073169597569676,1.0,1.0,0.0016660690307617188,Momentum,1e-07,0.8,default_top60
53,gradient,2.1124603931978285,2.073169686516352,1.0,1.0,0.00757908821105957,Momentum,1e-07,0.9,default_top160
53,gradient,2.112460411393121,2.0731697099995934,1.0,1.0,0.0013980865478515625,Momentum,1e-07,0.9,default_top60
54,gradient,2.1124604929626747,2.0731697999354726,1.0,1.0,0.0073468685150146484,Momentum,1e-07,0.999,default_top160
54,gradient,2.112460509520393,2.0731698213052256,1.0,1.0,0.0014238357543945312,Momentum,1e-07,0.999,default_top60
46,gradient,2.1124607468708954,2.0731701752661897,1.0,1.0,0.0005247592926025391,LearningRate,1e-07,,default_notext
49,gradient,2.1124607469463705,2.0731701753433285,1.0,1.0,0.0005791187286376953,Decay,1e-07,0.0001,default_notext
50,gradient,2.112460747248119,2.073170175651729,1.0,1.0,0.0004210472106933594,Decay,1e-07,0.0005,default_notext
48,gradient,2.112460754344417,2.07317018290444,1.0,1.0,0.0005409717559814453,Decay,1e-07,0.01,default_notext
47,gradient,2.112460815491418,2.073170245399214,1.0,1.0,0.0004127025604248047,Decay,1e-07,0.1,default_notext
51,gradient,2.1124610110599202,2.073170445278347,1.0,1.0,0.0003719329833984375,Momentum,1e-07,0.7,default_notext
