,algorithm,mse train,mse val,init zero,iterations,time,lr method,lr,b,model
78,gradient,1.098503449318437,1.058174539709476,0.0,1000.0,0.20606589317321777,Momentum,0.0005,0.7,only_children_square
78,gradient,1.098503449318437,1.058174539709476,0.0,1000.0,0.20606589317321777,Momentum,0.0005,0.7,only_children_square
70,gradient,1.117522332154883,1.0586230471383566,0.0,1000.0,0.17943811416625977,Momentum,0.001,0.8,only_children
18,gradient,1.1183099874935767,1.0591814137619076,1.0,1000.0,0.18183112144470215,Momentum,0.001,0.999,only_children
17,gradient,1.1183123870332206,1.0591838132246894,1.0,1000.0,0.18343806266784668,Momentum,0.001,0.9,only_children
16,gradient,1.118314810903615,1.059186236802251,1.0,1000.0,0.18396520614624023,Momentum,0.001,0.8,only_children
15,gradient,1.118317234867736,1.0591886602575686,1.0,1000.0,0.18552708625793457,Momentum,0.001,0.7,only_children
10,gradient,1.1183342052644223,1.0592056210711616,1.0,1000.0,0.18796110153198242,LearningRate,0.001,,only_children
13,gradient,1.1181472204474956,1.0594768252706475,1.0,1000.0,3.645656108856201,Decay,0.001,0.0001,only_children_text
79,gradient,1.0759876658165972,1.059875704644397,0.0,1000.0,0.22127008438110352,Momentum,0.0005,0.8,only_children_square
79,gradient,1.0759876658165972,1.059875704644397,0.0,1000.0,0.22127008438110352,Momentum,0.0005,0.8,only_children_square
13,gradient,1.1198379549377664,1.0608526159388323,1.0,1000.0,0.18271994590759277,Decay,0.001,0.0001,only_children
58,gradient,1.1389115321255225,1.0611066671642793,False,1000,1.0020620822906494,Decay,0.01,0.0005,default_feeling
64,gradient,1.1200943107008958,1.0614796650998573,0.0,1000.0,0.17545604705810547,LearningRate,0.001,,only_children
81,gradient,1.0750140819696246,1.0615065827707275,0.0,1000.0,0.20607304573059082,Momentum,0.0005,0.999,only_children_square
81,gradient,1.0750140819696246,1.0615065827707275,0.0,1000.0,0.20607304573059082,Momentum,0.0005,0.999,only_children_square
85,gradient,1.1211596849759815,1.0617700397238081,0.0,1000.0,0.20079493522644043,Decay,0.0001,0.0001,only_children_square
85,gradient,1.1211596849759815,1.0617700397238081,0.0,1000.0,0.20079493522644043,Decay,0.0001,0.0001,only_children_square
72,gradient,1.1209558475943255,1.0624076112282836,0.0,1000.0,0.1809840202331543,Momentum,0.001,0.999,only_children
74,gradient,1.088417164443048,1.0626871753995144,0.0,712.0,0.14402008056640625,Decay,0.0005,0.1,only_children_square
74,gradient,1.088417164443048,1.0626871753995144,0.0,712.0,0.14402008056640625,Decay,0.0005,0.1,only_children_square
14,gradient,1.1221847800853861,1.0629171541011901,1.0,1000.0,2.3417248725891113,Decay,0.001,0.0005,stopwords_children_120
14,gradient,1.1234192170695414,1.0640072814559094,1.0,1000.0,0.6816980838775635,Decay,0.001,0.0005,stopwords_children_50
9,gradient,1.1226551494713517,1.0645544445575452,True,1000,4.7118752002716064,LearningRate,0.001,,default_tfidf
14,gradient,1.122657328218851,1.0645616391508865,True,1000,4.024645805358887,Momentum,0.001,0.7,default_tfidf
15,gradient,1.1226576406151547,1.0645626671458952,True,1000,5.428652763366699,Momentum,0.001,0.8,default_tfidf
16,gradient,1.1226579532976926,1.064563695188158,True,1000,6.103085041046143,Momentum,0.001,0.9,default_tfidf
17,gradient,1.1226582631352162,1.0645647129959739,True,1000,4.905689001083374,Momentum,0.001,0.999,default_tfidf
10,gradient,1.1223565075534712,1.0646609660109556,1.0,1000.0,3.550671100616455,LearningRate,0.001,,default_top160
